fastqFileNumber,sample,bam_path,perturbation_id,locus,perturbation,marker,locus_coverage,coverage_notes,log2_length_scaled,status
20,WT_Minimal_HisMetLeuUra_Glucose_2_180_none_3,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_180_none_3.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
21,WT_Minimal_HisMetLeuUra_Glucose_2_300_none_3,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_300_none_3.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
22,WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_4,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_4.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
23,WT_Minimal_HisMetLeuUra_Glucose_2_30_none_2,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_30_none_2.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
24,WT_Minimal_HisMetLeuUra_Glucose_2_45_none_4,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_45_none_4.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
25,WT_Minimal_HisMetLeuUra_Glucose_2_60_none_4,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_60_none_4.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
26,WT_Minimal_HisMetLeuUra_Glucose_2_90_none_4,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_90_none_4.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
27,WT_Minimal_HisMetLeuUra_Glucose_2_180_none_4,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_180_none_4.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
28,WT_Minimal_HisMetLeuUra_Glucose_2_300_none_4,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_300_none_4.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
29,WT_YPD_none_Glucose_2_1440_none_3,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_YPD_none_Glucose_2_1440_none_3.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
30,WT_YPD_none_Glucose_2_1440_none_4,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_YPD_none_Glucose_2_1440_none_4.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
31,WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_5,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_5.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
32,WT_Minimal_HisMetLeuUra_Glucose_2_45_none_5,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_45_none_5.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
33,WT_Minimal_HisMetLeuUra_Glucose_2_60_none_5,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_60_none_5.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
34,WT_Minimal_HisMetLeuUra_Glucose_2_90_none_5,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_90_none_5.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
35,WT_Minimal_HisMetLeuUra_Glucose_2_180_none_5,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_180_none_5.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
36,WT_Minimal_HisMetLeuUra_Glucose_2_300_none_5,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_300_none_5.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
37,WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_6,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_6.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
38,WT_Minimal_HisMetLeuUra_Glucose_2_45_none_6,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_45_none_6.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
39,WT_Minimal_HisMetLeuUra_Glucose_2_60_none_6,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_60_none_6.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
40,WT_Minimal_HisMetLeuUra_Glucose_2_90_none_6,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_90_none_6.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
41,WT_Minimal_HisMetLeuUra_Glucose_2_180_none_6,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_180_none_6.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
42,WT_Minimal_HisMetLeuUra_Glucose_2_300_none_6,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_300_none_6.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
43,WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_7,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_7.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
44,WT_Minimal_HisMetLeuUra_Glucose_2_30_none_3,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_30_none_3.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
45,WT_Minimal_HisMetLeuUra_Glucose_2_45_none_7,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_45_none_7.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
46,WT_Minimal_HisMetLeuUra_Glucose_2_60_none_7,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_60_none_7.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
47,WT_Minimal_HisMetLeuUra_Glucose_2_90_none_7,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_90_none_7.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
48,WT_Minimal_HisMetLeuUra_Glucose_2_180_none_7,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_180_none_7.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
49,WT_Minimal_HisMetLeuUra_Glucose_2_300_none_7,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_300_none_7.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
50,WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_8,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_8.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
51,WT_Minimal_HisMetLeuUra_Glucose_2_30_none_4,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_30_none_4.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
52,WT_Minimal_HisMetLeuUra_Glucose_2_45_none_8,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_45_none_8.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
53,WT_Minimal_HisMetLeuUra_Glucose_2_60_none_8,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_60_none_8.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
54,WT_Minimal_HisMetLeuUra_Glucose_2_90_none_8,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_90_none_8.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
55,WT_Minimal_HisMetLeuUra_Glucose_2_180_none_8,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_180_none_8.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
56,WT_Minimal_HisMetLeuUra_Glucose_2_300_none_8,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_300_none_8.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
57,YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1.markdup.sorted.bam,geno1,YBR033W,deletion,KAN,0,,0,0
58,YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2.markdup.sorted.bam,geno1,YBR033W,deletion,KAN,0,,0,0
59,YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_1,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_1.markdup.sorted.bam,geno1,YBR033W,deletion,KAN,0.03,,1,0
60,YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_2,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_2.markdup.sorted.bam,geno1,YBR033W,deletion,KAN,0,,0,0
61,YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_1,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_1.markdup.sorted.bam,geno1,YBR033W,deletion,KAN,0,,0,0
62,YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_2,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_2.markdup.sorted.bam,geno1,YBR033W,deletion,KAN,0,,0,0
63,YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_1,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_1.markdup.sorted.bam,geno1,YBR033W,deletion,KAN,0.03,,1,0
64,YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_2,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_2.markdup.sorted.bam,geno1,YBR033W,deletion,KAN,0,,0,0
65,YBR033W_Minimal_HisMetLeuUra_Glucose_2_180_none_1,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YBR033W_Minimal_HisMetLeuUra_Glucose_2_180_none_1.markdup.sorted.bam,geno1,YBR033W,deletion,KAN,0.03,,1,0
66,YBR033W_Minimal_HisMetLeuUra_Glucose_2_180_none_2,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YBR033W_Minimal_HisMetLeuUra_Glucose_2_180_none_2.markdup.sorted.bam,geno1,YBR033W,deletion,KAN,0.03,,1,0
67,YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_1,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_1.markdup.sorted.bam,geno1,YBR033W,deletion,"NA",0,,0,0
68,WT_YPD_none_Glucose_2_1440_none_5,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_YPD_none_Glucose_2_1440_none_5.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
69,WT_YPD_none_Glucose_2_1440_none_6,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_YPD_none_Glucose_2_1440_none_6.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
70,WT_YPD_none_Glucose_2_1440_none_7,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_YPD_none_Glucose_2_1440_none_7.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
71,YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_3,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_3.markdup.sorted.bam,geno1,YBR033W,deletion,KAN,0,,0,0
72,YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_3,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_3.markdup.sorted.bam,geno1,YBR033W,deletion,KAN,0,,0,0
73,YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_3,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_3.markdup.sorted.bam,geno1,YBR033W,deletion,KAN,0.01,,0,0
74,YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_3,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_3.markdup.sorted.bam,geno1,YBR033W,deletion,KAN,0.01,,0,0
75,YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_4,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YBR033W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_4.markdup.sorted.bam,geno1,YBR033W,deletion,KAN,0,,0,0
76,YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_4,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YBR033W_Minimal_HisMetLeuUra_Glucose_2_45_none_4.markdup.sorted.bam,geno1,YBR033W,deletion,KAN,0,,0,0
77,YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_4,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YBR033W_Minimal_HisMetLeuUra_Glucose_2_60_none_4.markdup.sorted.bam,geno1,YBR033W,deletion,KAN,0,,0,0
78,YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_4,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_4.markdup.sorted.bam,geno1,YBR033W,deletion,KAN,0.03,,1,0
79,YBR033W_Minimal_HisMetLeuUra_Glucose_2_180_none_3,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YBR033W_Minimal_HisMetLeuUra_Glucose_2_180_none_3.markdup.sorted.bam,geno1,YBR033W,deletion,KAN,0,,0,0
80,YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_2,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YBR033W_Minimal_HisMetLeuUra_Glucose_2_300_none_2.markdup.sorted.bam,geno1,YBR033W,deletion,KAN,0,,0,0
81,YGL035C_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YGL035C_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1.markdup.sorted.bam,geno1,YGL035C,deletion,KAN,0.05,,1,0
82,YGL035C_Minimal_HisMetLeuUra_Glucose_2_45_none_1,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YGL035C_Minimal_HisMetLeuUra_Glucose_2_45_none_1.markdup.sorted.bam,geno1,YGL035C,deletion,KAN,0.01,,0,0
83,YGL035C_Minimal_HisMetLeuUra_Glucose_2_60_none_1,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YGL035C_Minimal_HisMetLeuUra_Glucose_2_60_none_1.markdup.sorted.bam,geno1,YGL035C,deletion,KAN,0.05,,1,0
84,YGL035C_Minimal_HisMetLeuUra_Glucose_2_90_none_1,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YGL035C_Minimal_HisMetLeuUra_Glucose_2_90_none_1.markdup.sorted.bam,geno1,YGL035C,deletion,KAN,0.05,,1,0
85,YGL035C_Minimal_HisMetLeuUra_Glucose_2_180_none_1,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YGL035C_Minimal_HisMetLeuUra_Glucose_2_180_none_1.markdup.sorted.bam,geno1,YGL035C,deletion,KAN,0,,0,0
86,YGL035C_Minimal_HisMetLeuUra_Glucose_2_300_none_1,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YGL035C_Minimal_HisMetLeuUra_Glucose_2_300_none_1.markdup.sorted.bam,geno1,YGL035C,deletion,KAN,0,,0,0
87,YGL035C_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YGL035C_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2.markdup.sorted.bam,geno1,YGL035C,deletion,KAN,0,,0,0
88,YGL035C_Minimal_HisMetLeuUra_Glucose_2_45_none_2,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YGL035C_Minimal_HisMetLeuUra_Glucose_2_45_none_2.markdup.sorted.bam,geno1,YGL035C,deletion,KAN,0,,0,0
89,YGL035C_Minimal_HisMetLeuUra_Glucose_2_60_none_2,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YGL035C_Minimal_HisMetLeuUra_Glucose_2_60_none_2.markdup.sorted.bam,geno1,YGL035C,deletion,KAN,0.05,,1,0
90,YGL035C_Minimal_HisMetLeuUra_Glucose_2_90_none_2,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YGL035C_Minimal_HisMetLeuUra_Glucose_2_90_none_2.markdup.sorted.bam,geno1,YGL035C,deletion,KAN,0.05,,0,0
91,YGL035C_Minimal_HisMetLeuUra_Glucose_2_180_none_2,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YGL035C_Minimal_HisMetLeuUra_Glucose_2_180_none_2.markdup.sorted.bam,geno1,YGL035C,deletion,KAN,0.11,,1.58,0
92,YGL035C_Minimal_HisMetLeuUra_Glucose_2_300_none_2,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YGL035C_Minimal_HisMetLeuUra_Glucose_2_300_none_2.markdup.sorted.bam,geno1,YGL035C,deletion,KAN,0,,0,0
93,WT_YPD_none_Glucose_2_1440_none_8,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_YPD_none_Glucose_2_1440_none_8.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
94,WT_YPD_none_Glucose_2_1440_none_9,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_YPD_none_Glucose_2_1440_none_9.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
95,YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1.markdup.sorted.bam,geno1,YKL038W,deletion,KAN,0,,0,0
96,YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_1,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_1.markdup.sorted.bam,geno1,YKL038W,deletion,KAN,0,,0,0
97,YKL038W_Minimal_HisMetLeuUra_Glucose_2_60_none_1,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YKL038W_Minimal_HisMetLeuUra_Glucose_2_60_none_1.markdup.sorted.bam,geno1,YKL038W,deletion,KAN,0.04,,1.58,0
98,YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_1,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_1.markdup.sorted.bam,geno1,YKL038W,deletion,KAN,0,,0,0
99,YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_1,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_1.markdup.sorted.bam,geno1,YKL038W,deletion,KAN,0,,0,0
100,YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_1,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_1.markdup.sorted.bam,geno1,YKL038W,deletion,KAN,0,,0,0
101,YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YKL038W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2.markdup.sorted.bam,geno1,YKL038W,deletion,KAN,0,,0,0
102,YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_2,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_2.markdup.sorted.bam,geno1,YKL038W,deletion,KAN,0,,0,0
103,YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_2,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YKL038W_Minimal_HisMetLeuUra_Glucose_2_90_none_2.markdup.sorted.bam,geno1,YKL038W,deletion,KAN,0,,0,0
104,YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_2,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_2.markdup.sorted.bam,geno1,YKL038W,deletion,KAN,0,,0,0
105,YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_2,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_2.markdup.sorted.bam,geno1,YKL038W,deletion,KAN,0,,0,0
106,YGL209W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/YGL209W_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1.markdup.sorted.bam,geno1,YGL209W,deletion,KAN,0,,0,0
